Product URL,Item ID,Product ID,Brand Name,Product Name,Regular Price,Special Price,Short Description,Long Description,Product Information,Directions,Ingredients,SKU,Image URLs
https://www.chemistwarehouse.com.au/buy/87324/curash-babycare-simply-water-wipes-6-x-80,87324, 2678514,Curash,Curash Babycare Simply Water Wipes 6 x 80,27.20,15.64,,"Curash Babycare Simply Water Wipes 6 x 80
Baby Skin Experts
Suitable For:  For sensitive skin

Boxed Contents:  6 x 80 Value Pack (Super Thick Wipes)

Size:  480 Pack

Fragrance Free?:  Yes

Dermatologist Tested?:  Yes

Soap-Free?:  Yes

Hypo Allergenic?:  Yes

Ph Balanced?:  Yes

Skin Type:  Sensitive

Alcohol Free?:  Yes

KEY FEATURES
• Helps Protect Against Nappy Rash
• 99% Water for the most Sensitive Skin
• Ideal for Newborns
• Irritant Free
• Dermatologically Tested
• Soap Free
• Alcohol Free & pH Balanced
• Super Thick & Cushion Soft",,Do not flush. Dispose of thoughtfully.,"Water, Polysorbate 20, Phenoxyethanol, Caprylyl Glycol.",87324,"https://static.chemistwarehouse.com.au/ams/media/pi/87324/2DF_800.jpg,https://static.chemistwarehouse.com.au/ams/media/pi/87324/2DB_800.jpg,https://static.chemistwarehouse.com.au/ams/media/pi/87324/ADD3_800.jpg,https://static.chemistwarehouse.com.au/ams/media/pi/87324/ADD7_800.jpg,https://static.chemistwarehouse.com.au/ams/media/pi/87324/ADD8_800.jpg,https://static.chemistwarehouse.com.au/ams/media/pi/87324/ADD9_800.jpg,https://static.chemistwarehouse.com.au/ams/media/pi/87324/ADD10_800.jpg"
https://www.chemistwarehouse.com.au/buy/92094/bubs-organic-pear-white-grape-4-months-120g,92094, 2686039,Bubs Organic,Bubs Organic Pear u0026 White Grape 4 Months+ 120g,2.30,2.29,,"Product Claims:  ACO Certified Organic, BPA free

Size:  120g",,,"Organic Pear 83%, Organic White Grape (Water, Organic White Grape Juice Concentrate) 15%, Organic Brown Rice 2%.",92094,"https://static.chemistwarehouse.com.au/ams/media/pi/92094/2DF_800.jpg,https://static.chemistwarehouse.com.au/ams/media/pi/92094/2DB_800.jpg"
https://www.chemistwarehouse.com.au/buy/90965/malarkey-chew-cube-grey-online-only,90965, 2683470,Malarkey,Malarkey Chew Cube Grey Online Only,21.99,19.99,,,,,,90965,https://static.chemistwarehouse.com.au/ams/media/pi/90965/F2D_800.jpg
https://www.chemistwarehouse.com.au/buy/82097/nuby-citroganix-pacifier-and-teether-wipes-48-pack,82097, 2669521,Nuby,Nuby Citroganix Pacifier and Teether Wipes 48 Pack,7.99,4.79,,,,,,82097,https://static.chemistwarehouse.com.au/ams/media/pi/82097/F2D_800.jpg
https://www.chemistwarehouse.com.au/buy/126121/econaps-reusable-cloth-nappy-dusty-rose-one-size,126121, 8000113,EcoNaps Marketplace,EcoNaps Reusable Cloth Nappy Dusty Rose One Size,34.95,29.95,,"EcoNaps new and improved 2.0 nappy is the first plastic neutral reusable nappy, certified by Plastic Bank. Made from rPET recycled polyester and ultra-absorbent bamboo, EcoNaps are the perfect, easy-to-use cloth nappy solution that is gentle on your baby, and gentle on the planet.

Proudly designed in Australia.
Simple to use:   Easy to use snap fastenings and a modern design make every nappy change a breeze., Leak-free functionality:   Two thirsty bamboo inserts are included with each nappy cover to minimise leaks and maximise comfort., Two styles in one:   You have the freedom to set up your baby's nappy as a popular pocket style or an easy all-in-2 setup., Grows with baby:   Our single nappy design will grow with baby from tiny newborn through to energetic toddler., Certified plastic neutral by Plastic Bank:   Every cloth nappy purchased stops the equivalent of 5 plastic bottles from entering the ocean, Made from rPET recycled fabrics:   Our covers feature post-consumer recycled polyester inside and out, made from recycled plastic bottles, diverting single-use plastics from landfill giving them another life., Australian design:   Our premium quality nappies are hand-designed with love and care in Byron Bay, Australia.
One-Size",,"Washing dirty cloth nappies in 4 simple steps:
Step 1: Remove solids Drop poo in the loo and store the used cloth nappy in a dry pail. 
Step 2: Pre-wash cycle Run a pre-wash cycle 40-60 degrees with detergent every 1-2 days. This removes the majority of soiling and gets your nappies ready for the main-wash. Store nappy in a dry pail until the main wash.
Step 3: Main-wash cycle Run a long main-wash cycle 40-60 degrees with detergent every 2-3 days.
Step 4: Hang to dry Air dry nappies or use a clothes/tumble dryer. ","Outer cover: Waterproof and breathable rPET polyester made from recycled post-consumer plastic bottles with heat-bonded TPU laminate to prevent leaks.
Inner cover: Stay-dry rPET recycled polyester micro-fleece to help baby feel comfy and dry, even after wetting.
Inserts: Super soft and absorbent bamboo terry comprising 85% Bamboo Viscose 15% Polyester.
All cloth nappy fabrics are OEKO-TEX STANDARD 100 certified and contain no harmful chemicals.
",126121,"https://static.chemistwarehouse.com.au/ams/media/pi/126121/MP-1-800.jpg,https://static.chemistwarehouse.com.au/ams/media/pi/126121/MP-2-800.jpg,https://static.chemistwarehouse.com.au/ams/media/pi/126121/MP-3-800.jpg,https://static.chemistwarehouse.com.au/ams/media/pi/126121/MP-4-800.jpg,https://static.chemistwarehouse.com.au/ams/media/pi/126121/MP-5-800.jpg"
https://www.chemistwarehouse.com.au/buy/85580/mustela-soothing-moisturising-body-milk-fragrance-free-200ml-online-only,85580, 2675603,Mustela,Mustela Soothing Moisturising Body Milk Fragrance Free 200ml Online Only,21.95,16.46,,"Mustela Soothing Moisturising Body Lotion is a daily baby body lotion that protects and relieves your baby's sensitive skin. Our fragrance-free formula is specifically designed for babies and children with very sensitive, rashy or reactive skin.

Mustela Soothing Moisturising Body Lotion penetrates effortlessly to deliver immediate and long-lasting moisture.

Composed of 97% natural ingredients including Avocado Perseose, a patented natural ingredient specifically designed designed specifically to help protect and hydrate your baby's delicate skin, and Schizandra, a berry extract that soothes tingling and tightness, while working to improve the skin's appearance.

Use Mustela Soothing Moisturizing Body Lotion in conjunction with Mustela Soothing Moisturising Face Cream for complete hydration.

Paraben, Phthalate, and Phenoxyethanol free.

Hypoallergenic: specially formulated to minimise the risk of allergic reactions.

Tested under paediatric and dermatological control.

Safe to use from birth on.",,"

Apply to your baby's body in the morning and evening.


Reapply as needed.","

AQUA /WATER/EAU, DICAPRYLYL CARBONATE, TRIISOSTEARIN, SODIUM ACRYLATES COPOLYMER, 1,2-HEXANEDIOL, GLYCERYL CAPRYLATE, LECITHIN, LAURYL GLUCOSIDE, POLYGLYCERYL-2 DIPOLYHYDROXYSTEARATE, GLYCERIN, TOCOPHEROL, CITRIC ACID, MALTODEXTRIN*, SACCHARIDE HYDROLYSATE*, PERSEA GRATISSIMA (AVOCADO) FRUIT EXTRACT. *Schizandra",85580,https://static.chemistwarehouse.com.au/ams/media/pi/85580/F2D_800.jpg
https://www.chemistwarehouse.com.au/buy/90972/munch-it-blanket-sunshine-online-only,90972, 2683483,MunchIt,Munch-It Blanket Sunshine Online Only,19.99,17.99,,,,,,90972,https://static.chemistwarehouse.com.au/App_Themes/AMS-CWH/Images/NoImage.jpg
https://www.chemistwarehouse.com.au/buy/90970/munch-it-blanket-cactie-cutie-online-only,90970, 2683482,MunchIt,Munch-It Blanket Cactie Cutie Online Only,19.99,17.99,,,,,,90970,https://static.chemistwarehouse.com.au/App_Themes/AMS-CWH/Images/NoImage.jpg
https://www.chemistwarehouse.com.au/buy/56423/neocate-lcp-400g-x-8---amino-acid-synthetic-formula-supplemented-with-long-chain-polyunsaturated-fatty,56423, 2588598,Neocate,Neocate LCP 400g x 8 - Amino Acid Synthetic Formula Supplemented With Long Chain Polyunsaturated Fatty,43.39,,,"Neocate LCP is for the dietary management of infants 
who have cowÃ¢â‚¬â„¢s milk allergy (CMA), multiple food 
protein intolerances (MFPI), and other conditions 
that require an amino acid based formula. With the 
addition of long chain omega 3 and omega 6 fatty 
acids, the proteins have been replaced with amino 
acids, assisting with the healthy brain and eye 
development of children.

      
Warnings

      
Use under medical supervision. Not for parental use",,"One scoop of Neocate is added to every 30ml water. 
One scoop = 5 g of Neocate powder. Always use the 
scoop provided in the can of Neocate. Different 
formulas have different scoop sizes and dilutions. 
Do not alter the recipe unless instructed to do so 
by your doctor or dietitian. Your doctor or 
dietitian should also advise the appropriate 
amount of Neocate to be given. This may vary in an 
allergic child depending on how much and what 
types of solids are permitted and the age of the 
child.","Dried glucose syrup, Non-hydrogenated Coconut Oil, 
High Oleic Sunflower oil, Refined Vegetable oils 
(Canola, Sunflower), L-Arginine, L-Aspartate, L-
Leucine, L-Lysine Acetate, L-Glutamine, Calcium 
Phosphate Dibasic, L-Proline, L-Valine, Emulsifier 
(E472c), Tripotassium Citrate, L-Isoleucine, L-
Glycine, L-Threonine, L-Tyrosine, L-Phenylalanine, 
L-Serine, L-Histidine, L-Alanine, L-Cystine, L-
Tryptophan, Sodium Chloride, L-Methionine, 
Magnesium Aspartate, High Arachidonic Single Cell 
Vegetable Oil, Choline Bitartrate, Magnesium 
Chloride, Tricalcium Citrate, L-Ascorbic Acid, 
Potassium Chloride, M-Inositol, High 
Docosahexaenoic Acid Single Cell Vegetable Oil, 
Taurine, Ferrous Sulphate, Zinc Sulphate, L-
Carnitine, Nicotinamide, DL-alpha Tocopheryl 
Acetate, Calcium D-Pantothenate, Antioxidants 
(E304, E307, E306), Manganese Sulphate, Copper 
Sulphate, Vitamin A Acetate, Pyridoxine 
Hydrochloride, Thiamine Hydrochloride, Riboflavin, 
Potassium Iodide, Folic Acid, Chromium Chloride, 
Sodium Molybdate, Vitamin K1, D-Biotin, Sodium 
Selenite, Vitamin D3, Cyanocobalamin",56423,https://static.chemistwarehouse.com.au/App_Themes/AMS-CWH/Images/NoImage.jpg
"https://www.chemistwarehouse.com.au/buy/100943/neocate-junior-unflavoured-3200g-(8-x-400)-(authority-script)---amino-acid-formula-with-fat,-carbohydrate,-vitamins,-minerals,-trace-elements-an",100943, 2677517,Chemist Warehouse,"Neocate Junior Unflavoured 3200g (8 x 400) (Authority Script)  - Amino Acid Formula With Fat, Carbohydrate, Vitamins, Minerals, Trace Elements An",46.99,,,,,,,100943,https://static.chemistwarehouse.com.au/App_Themes/AMS-CWH/Images/NoImage.jpg
